TYPE,COUNT,CATEGORY
BACTERIAL GENUS,38197,OTHER
MICROBIAL COMMUNITY,25643,OTHER
BACTERIAL SPECIES,18162,OTHER
METABOLIC PATHWAY,9905,BIOLOGICAL PROCESS
BACTERIAL PHYLUM,9509,OTHER
METABOLIC PROCESS,7892,OTHER
BIOLOGICAL SAMPLE,7681,OTHER
DIETARY INTERVENTION,7316,OTHER
BIOLOGICAL PROCESS,7231,BIOLOGICAL PROCESS
MICROBIAL COMMUNITY PROPERTY,6103,OTHER
BACTERIAL FAMILY,5778,OTHER
METABOLITE,5535,CHEMICAL
SHORT-CHAIN FATTY ACID,5368,OTHER
BACTERIAL STRAIN,4437,OTHER
PATIENT COHORT,4390,OTHER
STATISTICAL TEST,3879,OTHER
ANALYTICAL METHOD,3860,OTHER
SEQUENCING DATA,3682,OTHER
MICROBIAL COMMUNITY COMPOSITION,3651,OTHER
SIGNALING PATHWAY,3622,BIOLOGICAL PROCESS
ENZYME,3216,GENE/PROTEIN
PRO-INFLAMMATORY CYTOKINE,3025,OTHER
TREATMENT GROUP,3011,OTHER
CLINICAL OUTCOME,2811,OTHER
EXPERIMENTAL GROUP,2809,OTHER
CYTOKINE,2681,OTHER
MICROBIOME PROFILING METHOD,2631,OTHER
CELLULAR PROCESS,2573,OTHER
MICROBIAL METABOLITE,2488,OTHER
THERAPEUTIC INTERVENTION,2487,OTHER
PHYSIOLOGICAL STATE,2413,OTHER
DIVERSITY METRIC,2315,OTHER
FUNGAL GENUS,2246,OTHER
PHYSIOLOGICAL PROCESS,2151,OTHER
STATISTICAL ANALYSIS METHOD,2092,OTHER
STATISTICAL METHOD,2080,OTHER
TISSUE SAMPLE,2051,OTHER
ALPHA DIVERSITY METRIC,1963,OTHER
DISEASE,1924,DISEASE/CONDITION
DIETARY TREATMENT,1911,OTHER
METABOLITE CLASS,1891,OTHER
IMMUNE RESPONSE,1869,OTHER
TIGHT JUNCTION PROTEIN,1842,OTHER
DIETARY SUPPLEMENT,1835,OTHER
MICROBIAL DIVERSITY METRIC,1800,OTHER
TRANSCRIPTION FACTOR,1800,OTHER
DISEASE MODEL,1791,OTHER
ENVIRONMENTAL CONDITION,1776,OTHER
GENOMIC FEATURE,1760,OTHER
PROBIOTIC TREATMENT,1754,OTHER
MICROBIAL COMMUNITY CHANGE,1738,OTHER
MICROBIAL TAXA,1680,OTHER
PATIENT POPULATION,1665,OTHER
IMMUNE PROCESS,1660,OTHER
IMMUNE CELL TYPE,1644,OTHER
INFLAMMATORY STATE,1639,OTHER
METABOLIC DISORDER,1633,OTHER
NUCLEIC ACID,1608,OTHER
SEQUENCING METHOD,1607,OTHER
MICROBIAL COMMUNITY IMBALANCE,1538,OTHER
MICROBIAL COMMUNITY CHARACTERISTIC,1535,OTHER
ECOLOGICAL PROCESS,1531,OTHER
MICROBIAL COMMUNITY STRUCTURE,1513,OTHER
ORGAN,1499,CELL/COMPARTMENT
PATHOLOGICAL PROCESS,1493,OTHER
GENE SET,1453,OTHER
BACTERIAL GROUP,1442,OTHER
HOST PHYSIOLOGICAL STATE,1403,OTHER
PROBIOTIC BACTERIUM,1382,OTHER
BACTERIAL FUNCTIONAL GROUP,1376,OTHER
PATHOLOGICAL CONDITION,1365,OTHER
EXPERIMENTAL CONDITION,1351,OTHER
STUDY POPULATION,1349,OTHER
BACTERIAL TAXA,1342,OTHER
DISEASE MECHANISM,1342,OTHER
BEHAVIORAL PHENOTYPE,1328,OTHER
MICROBIAL COMMUNITY STATE,1324,OTHER
STATISTICAL ANALYSIS,1321,OTHER
DISEASE CATEGORY,1285,OTHER
BACTERIAL ORDER,1283,OTHER
FUNGAL SPECIES,1276,OTHER
BIOINFORMATICS SOFTWARE,1268,OTHER
BACTERIAL COMMUNITY,1245,OTHER
PROTEIN,1233,GENE/PROTEIN
BACTERIAL PHENOTYPE,1223,OTHER
METABOLIC STATE,1220,OTHER
AMINO ACID,1217,OTHER
METABOLIC DISEASE,1203,OTHER
BACTERIAL GENERA,1203,OTHER
SOIL PROPERTY,1197,OTHER
PROBIOTIC INTERVENTION,1185,OTHER
ANTIOXIDANT ENZYME,1184,OTHER
GENE EXPRESSION,1181,OTHER
BACTERIAL METABOLITE,1156,OTHER
CELL TYPE,1135,CELL/COMPARTMENT
MICROBIAL METABOLIC PROCESS,1110,OTHER
BIOINFORMATICS TOOL,1095,OTHER
THERAPEUTIC APPROACH,1094,OTHER
DIETARY EXPOSURE,1087,OTHER
PHYSIOLOGICAL FUNCTION,1086,OTHER
METABOLIC DYSFUNCTION,1083,OTHER
ANALYTICAL APPROACH,1046,OTHER
TRYPTOPHAN METABOLITE,1041,OTHER
DEVELOPMENTAL PROCESS,1035,OTHER
BACTERIAL CLASS,1018,OTHER
GENE,1007,GENE/PROTEIN
ANTIBIOTIC,1005,CHEMICAL
